Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2020-04-16,19898653,XIC.TO,ETF,CAD,10,25.75,9.34,0.0,Buy
2020-04-27,19898653,NVDA,Stock,USD,20,403.79,4.08,0.0,Buy
2020-05-17,19898653,BND,ETF,USD,20,40.83,9.92,0.0,Buy
2020-06-14,87161840,XOM,Stock,USD,25,155.89,9.63,0.0,Buy
2020-07-02,87161840,VEA,ETF,USD,-23,88.31,1.19,0.0,Sell
2020-10-15,87161840,VEA,ETF,USD,-15,80.96,8.34,0.0,Sell
2020-10-19,19898653,XIC.TO,ETF,CAD,-9,39.56,4.24,0.0,Sell
2020-11-01,19898653,XIC.TO,ETF,CAD,10,41.46,1.88,0.0,Buy
2020-11-13,87161840,BCE.TO,Stock,CAD,-27,18.79,6.14,0.0,Sell
2020-11-14,87161840,BCE.TO,Stock,CAD,1,19.37,1.01,0.0,Buy
2020-11-24,19898653,VOO,ETF,USD,-28,1317.76,0.49,0.0,Sell
2021-01-20,19898653,BND,ETF,USD,50,40.96,8.63,0.0,Buy
2021-01-21,87161840,BMO.TO,Stock,CAD,25,142.09,5.76,0.0,Buy
2021-02-01,19898653,RY.TO,Stock,CAD,5,202.88,9.85,0.0,Buy
2021-03-02,87161840,XOM,Stock,USD,1,194.4,5.56,0.0,Buy
2021-03-23,87161840,VEA,ETF,USD,-28,106.32,5.55,1.09,Sell
2021-03-30,87161840,XOM,Stock,USD,-21,205.51,6.96,0.0,Sell
2021-04-10,87161840,BMO.TO,Stock,CAD,50,167.34,5.37,0.0,Buy
2021-04-17,19898653,BND,ETF,USD,25,41.4,1.44,0.0,Buy
2021-04-29,87161840,XOM,Stock,USD,30,1.66,0.0,0.0,Dividend
2021-05-03,87161840,VEA,ETF,USD,10,105.51,2.03,0.0,Buy
2021-05-05,19898653,VOO,ETF,USD,1,956.51,5.35,0.0,Buy
2021-06-04,87161840,XOM,Stock,USD,-20,187.48,0.4,0.0,Sell
2021-06-11,19898653,VOO,ETF,USD,-1,1039.47,4.79,0.0,Sell
2021-06-13,87161840,BCE.TO,Stock,CAD,5,23.56,9.61,0.0,Buy
2021-06-23,19898653,XIC.TO,ETF,CAD,11,0.23,0.0,0.0,Dividend
2021-06-26,19898653,VOO,ETF,USD,5,1036.46,5.52,0.0,Buy
2021-07-16,87161840,QQQ,ETF,USD,-1,213.82,2.61,0.0,Sell
2021-07-19,19898653,NVDA,Stock,USD,-16,456.52,7.61,0.0,Sell
2021-08-05,19898653,BND,ETF,USD,15,46.7,0.46,0.0,Buy
2021-08-05,87161840,QQQ,ETF,USD,10,206.37,5.53,0.0,Buy
2021-08-29,87161840,BMO.TO,Stock,CAD,10,165.03,2.3,0.0,Buy
2021-09-01,19898653,BND,ETF,USD,25,47.7,9.43,0.0,Buy
2021-09-01,19898653,XIC.TO,ETF,CAD,11,0.21,0.0,0.0,Dividend
2021-10-05,87161840,VEA,ETF,USD,-23,110.38,1.69,0.0,Sell
2021-10-07,87161840,QQQ,ETF,USD,10,0.28,0.0,0.0,Dividend
2021-10-20,19898653,NVDA,Stock,USD,4,0.1,0.0,0.0,Dividend
2021-10-28,87161840,BCE.TO,Stock,CAD,50,30.25,6.3,0.0,Buy
2021-11-10,87161840,VEA,ETF,USD,20,111.14,4.56,0.0,Buy
2021-11-15,19898653,VOO,ETF,USD,5,3.63,0.0,0.0,Dividend
2021-11-21,87161840,QQQ,ETF,USD,-1,220.83,0.17,0.0,Sell
2021-11-26,87161840,BMO.TO,Stock,CAD,50,140.13,6.97,0.0,Buy
2021-12-17,87161840,VEA,ETF,USD,1,112.32,5.24,0.0,Buy
2021-12-20,87161840,BMO.TO,Stock,CAD,-18,146.31,7.94,0.0,Sell
2022-01-17,87161840,XOM,Stock,USD,5,219.01,9.89,0.0,Buy
2022-02-25,87161840,ENB.TO,Stock,CAD,-2,123.26,6.53,0.0,Sell
2022-03-10,87161840,BCE.TO,Stock,CAD,15,31.74,3.77,0.0,Buy
2022-03-11,87161840,ENB.TO,Stock,CAD,5,128.07,0.83,0.0,Buy
2022-03-11,87161840,ENB.TO,Stock,CAD,-10,128.07,9.76,0.0,Sell
2022-03-21,87161840,QQQ,ETF,USD,9,0.25,0.0,0.0,Dividend
2022-03-30,19898653,VOO,ETF,USD,1,1266.93,9.23,0.0,Buy
2022-04-10,87161840,QQQ,ETF,USD,-1,222.74,1.79,0.0,Sell
2022-05-25,19898653,BND,ETF,USD,-49,40.04,8.2,0.0,Sell
2022-06-03,87161840,BMO.TO,Stock,CAD,5,156.78,5.66,0.0,Buy
2022-06-30,87161840,ENB.TO,Stock,CAD,3,2.15,0.0,0.0,Dividend
2022-07-01,87161840,VEA,ETF,USD,-45,80.36,7.23,0.0,Sell
2022-07-04,87161840,BCE.TO,Stock,CAD,5,23.29,8.38,0.0,Buy
2022-07-24,19898653,VOO,ETF,USD,6,3.77,0.0,0.0,Dividend
2022-07-31,87161840,BCE.TO,Stock,CAD,-29,22.35,4.9,0.0,Sell
2022-08-04,87161840,XOM,Stock,USD,25,218.82,5.85,0.0,Buy
2022-08-11,19898653,VOO,ETF,USD,5,1144.46,7.12,0.0,Buy
2022-08-23,87161840,ENB.TO,Stock,CAD,15,138.55,3.16,0.0,Buy
2022-10-01,87161840,BCE.TO,Stock,CAD,91,0.41,0.0,0.0,Dividend
2022-10-05,87161840,BMO.TO,Stock,CAD,1,159.35,1.87,0.0,Buy
2022-10-05,87161840,QQQ,ETF,USD,1,235.07,0.26,0.0,Buy
2022-10-11,19898653,VOO,ETF,USD,-7,1167.88,0.12,0.0,Sell
2022-12-03,87161840,QQQ,ETF,USD,9,0.27,0.0,0.0,Dividend
2023-01-07,87161840,VEA,ETF,USD,-6,97.26,1.39,0.0,Sell
2023-02-17,19898653,NVDA,Stock,USD,10,444.19,4.21,0.0,Buy
2023-02-20,19898653,NVDA,Stock,USD,5,466.32,7.2,0.0,Buy
2023-03-05,19898653,VOO,ETF,USD,1,1428.64,1.35,0.43,Buy
2023-03-19,19898653,VOO,ETF,USD,50,1453.92,3.29,0.0,Buy
2023-03-20,87161840,ENB.TO,Stock,CAD,18,1.91,0.0,0.0,Dividend
2023-04-19,19898653,RY.TO,Stock,CAD,-45,343.19,2.01,0.0,Sell
2023-04-27,87161840,XOM,Stock,USD,40,1.91,0.0,0.0,Dividend
2023-04-29,87161840,ENB.TO,Stock,CAD,20,124.27,7.81,0.0,Buy
2023-05-14,87161840,BMO.TO,Stock,CAD,-26,387.95,3.65,0.0,Sell
2023-05-27,19898653,BND,ETF,USD,-35,36.48,1.8,0.0,Sell
2023-06-01,19898653,XIC.TO,ETF,CAD,11,0.26,0.0,0.0,Dividend
2023-07-04,19898653,NVDA,Stock,USD,-14,421.88,6.72,0.0,Sell
2023-07-09,87161840,BMO.TO,Stock,CAD,25,410.36,1.54,0.0,Buy
2023-08-01,87161840,XOM,Stock,USD,20,196.04,4.79,0.0,Buy
2023-08-22,87161840,QQQ,ETF,USD,9,0.19,0.0,0.0,Dividend
2023-09-01,87161840,BCE.TO,Stock,CAD,-24,20.46,7.01,0.0,Sell
2023-09-03,19898653,VOO,ETF,USD,-6,895.32,1.09,0.0,Sell
2023-09-04,87161840,VEA,ETF,USD,-1,104.11,5.63,0.0,Sell
2023-09-06,19898653,RY.TO,Stock,CAD,26,4.2,0.0,0.0,Dividend
2023-09-12,87161840,BCE.TO,Stock,CAD,5,19.86,5.1,0.0,Buy
2023-09-22,19898653,VOO,ETF,USD,-15,836.93,4.45,0.0,Sell
2023-09-29,19898653,VOO,ETF,USD,-10,854.61,3.45,2.18,Sell
2023-10-04,87161840,XOM,Stock,USD,60,1.97,0.0,0.0,Dividend
2023-10-11,87161840,VEA,ETF,USD,10,107.32,4.55,0.0,Buy
2023-10-19,19898653,XIC.TO,ETF,CAD,25,47.48,6.96,0.0,Buy
2023-10-21,19898653,NVDA,Stock,USD,10,424.24,6.47,0.0,Buy
2023-11-11,87161840,VEA,ETF,USD,20,0.71,0.0,0.0,Dividend
2023-11-12,87161840,QQQ,ETF,USD,20,159.44,4.26,0.0,Buy
2023-11-14,87161840,ENB.TO,Stock,CAD,25,157.6,6.57,0.0,Buy
2023-11-28,19898653,VOO,ETF,USD,24,3.33,0.0,0.0,Dividend
2023-11-30,87161840,BCE.TO,Stock,CAD,-14,22.1,2.78,0.0,Sell
2024-01-22,19898653,NVDA,Stock,USD,-13,492.32,8.71,0.0,Sell
2024-01-27,19898653,RY.TO,Stock,CAD,1,526.43,2.62,0.0,Buy
2024-02-09,87161840,QQQ,ETF,USD,29,0.17,0.0,0.0,Dividend
2024-03-16,87161840,XOM,Stock,USD,-23,218.26,3.52,0.0,Sell
2024-04-03,87161840,VEA,ETF,USD,-10,103.62,9.18,0.0,Sell
2024-04-07,19898653,RY.TO,Stock,CAD,10,469.88,1.17,0.0,Buy
2024-04-17,87161840,VEA,ETF,USD,15,107.28,5.96,0.0,Buy
2024-05-05,19898653,XIC.TO,ETF,CAD,-12,42.74,5.54,0.0,Sell
2024-05-21,19898653,RY.TO,Stock,CAD,-4,425.46,8.65,0.0,Sell
2024-05-22,19898653,XIC.TO,ETF,CAD,50,43.88,3.84,0.0,Buy
2024-05-26,87161840,XOM,Stock,USD,-27,225.79,7.09,0.0,Sell
2024-05-29,87161840,VEA,ETF,USD,1,106.53,7.95,0.0,Buy
2024-06-25,19898653,BND,ETF,USD,5,40.88,7.8,0.0,Buy
2024-07-03,19898653,XIC.TO,ETF,CAD,1,38.32,5.72,0.0,Buy
2024-07-22,19898653,RY.TO,Stock,CAD,50,409.02,0.42,0.0,Buy
2024-07-26,87161840,QQQ,ETF,USD,15,181.08,1.02,0.0,Buy
2024-08-07,87161840,BMO.TO,Stock,CAD,187,6.04,0.0,0.0,Dividend
2024-08-18,87161840,BMO.TO,Stock,CAD,50,539.12,0.87,0.0,Buy
2024-08-19,19898653,NVDA,Stock,USD,-1,554.99,2.1,0.0,Sell
2024-09-22,19898653,RY.TO,Stock,CAD,83,4.08,0.0,0.0,Dividend
2024-09-29,87161840,XOM,Stock,USD,5,250.1,7.84,0.0,Buy
2024-10-15,87161840,BCE.TO,Stock,CAD,-35,25.52,2.81,0.0,Sell
2024-11-04,19898653,RY.TO,Stock,CAD,83,4.42,0.0,0.0,Dividend
2024-11-15,19898653,VOO,ETF,USD,50,809.46,5.14,0.0,Buy
2024-11-20,87161840,VEA,ETF,USD,26,0.97,0.0,0.0,Dividend
2024-11-21,87161840,BMO.TO,Stock,CAD,237,6.31,0.0,0.0,Dividend
2024-12-09,87161840,VEA,ETF,USD,25,130.34,3.22,0.0,Buy
2024-12-18,87161840,XOM,Stock,USD,20,287.23,6.32,0.0,Buy
2024-12-23,87161840,XOM,Stock,USD,25,299.55,7.94,0.0,Buy
2024-12-27,87161840,XOM,Stock,USD,10,288.57,6.94,0.0,Buy
2025-01-01,19898653,XIC.TO,ETF,CAD,75,0.31,0.0,0.0,Dividend
2025-01-07,19898653,NVDA,Stock,USD,-1,506.58,6.34,0.0,Sell
2025-01-28,87161840,VEA,ETF,USD,-26,145.03,2.18,0.0,Sell
2025-02-02,19898653,RY.TO,Stock,CAD,10,434.57,3.37,0.0,Buy
2025-02-05,87161840,ENB.TO,Stock,CAD,63,2.27,0.0,0.0,Dividend
2025-02-13,19898653,NVDA,Stock,USD,1,514.46,0.99,0.0,Buy
2025-03-18,19898653,XIC.TO,ETF,CAD,50,46.13,1.58,0.0,Buy
2025-04-03,87161840,XOM,Stock,USD,25,269.79,9.08,0.0,Buy
2025-04-11,87161840,BMO.TO,Stock,CAD,10,584.15,0.93,0.0,Buy
2025-04-13,19898653,NVDA,Stock,USD,25,539.22,1.65,0.0,Buy
2025-04-15,87161840,BMO.TO,Stock,CAD,-49,580.87,2.34,0.0,Sell
2025-05-23,19898653,NVDA,Stock,USD,15,559.7,0.78,0.0,Buy
2025-06-04,87161840,QQQ,ETF,USD,-1,231.05,0.08,0.0,Sell
2025-06-23,87161840,XOM,Stock,USD,-31,239.38,0.71,0.0,Sell
2025-08-18,19898653,NVDA,Stock,USD,10,489.42,8.8,0.0,Buy
2025-08-23,87161840,VEA,ETF,USD,-22,252.28,1.43,0.0,Sell
2025-09-19,87161840,ENB.TO,Stock,CAD,10,147.38,7.22,0.0,Buy
2025-10-08,87161840,VEA,ETF,USD,3,1.73,0.0,0.0,Dividend
2025-10-21,19898653,BND,ETF,USD,1,54.29,1.4,0.0,Buy
2025-10-23,19898653,RY.TO,Stock,CAD,93,4.47,0.0,0.0,Dividend
2026-01-13,87161840,VEA,ETF,USD,25,206.64,0.84,0.0,Buy
